rank,artist,album,label,year,review_text
47,DJ Koze,DJ-Kicks,!K7,Staff Lists: The 50 Best Albums of 2015,"While DJ Koze’s playful, low-key attitude has always made him one of dance music’s more peripheral figures, it’s also made him one of its most valuable resources: The studiously unserious guy who makes you wonder what seriousness is for. It’s one of the reasons the DJ mix suits him so well—DJ mixes being a form of collage and collages being a form of joke, a place of distant connections and unusual juxtapositions. Amongst the heavy-lidded hip-hop and effervescent, late-night house on his contribution to the series, we get Koze’s idea of a climax: William Shatner doing faux-beatnik spoken word—surprising not because of how much it stands out, but by how cosmically it fits. —Mike Powell
"
46,Tobias Jesso Jr.,Goon,True Panther,Staff Lists: The 50 Best Albums of 2015,"""Hollywood"", the centerpiece of Tobias Jesso Jr.’s debut album , offers a cautionary tale to those enraptured by bright lights, huge billboards, and glistening walks of fame. ""Think I’m gonna die in Hollywood,"" sings Jesso, who spent some of his twenties haplessly trying to become a big time pop songwriter in Los Angeles, dreaming of working with his favorite artist, Adele. It is a somber song about failure, written by a guy coming to terms with his own youthful illusions.So it’s more than a little ironic that ""Hollywood"" caught Adele’s ear earlier this year, causing her to enlist Jesso to write for her record-busting new album. If Jesso’s unlikely redemption story was the plot of an actual Hollywood film, it would be tough not to call bullshit. But at the same time, considering the plainspoken glories of , his breakthrough makes a certain kind of cosmic sense. Jesso’s years as a wannabe songwriter weren’t fruitless after all: along with supplying some character-building roadblocks, they helped him hone a durable, open-ended technique. Throughout the album, he tackles subjects that know no expiration date—desire, heartbreak, betrayal—with arrangements and melodies that Paul McCartney could covet. As if to test the foundations of ’s songs, Jesso and his jazzbo live band spent the year showing off dramatically revamped renditions in styles ranging from reggae, to dixieland, to metal, to funk. Indeed, these shameless musings of a lovelorn fool hold up quite well. Some Hollywood stories never get old. —Ryan Dombal"
45,Jim O'Rourke,Simple Songs,Drag City,Staff Lists: The 50 Best Albums of 2015,"There was something reassuring about Jim O’Rourke turning up in 2015 and using the title  as a banner to tack across a set of deeply quixotic music. The album’s often difficult, sometimes purposefully stodgy, with O’Rourke carrying a newly gruff voice that bears a sailor’s bark, sometimes recalling unlikely figures like British bawler Joe Cocker. If it shares a singular trait with the other ""pop"" albums he’s made for Drag City, it’s in its complete removal from time and space—now, as then, this music exists in a vacuum, the result of a rare vision, moving from weathered to cozy, pushing and pulling horns and strings into places only O’Rourke can fathom. It can seem impenetrable at first, with tracks often deeply compressed under the weight of ideas. It’s in the passing of time that  finds its shape, causing it to slowly take on new, largely autumnal-shaded colors. Mostly, the power of allusion is foregrounded—you never get a great sense of who O’Rourke is from this music, with vague trails of humor and sadness and anger left behind, all left to make sense (or not) in the mind of the listener. —Nick Neyland"
44,Jazmine Sullivan,Reality Show,RCA,Staff Lists: The 50 Best Albums of 2015,"Jazmine Sullivan’s return to music after a four-year silence is inspired by lives both imaginary and tragically personal. In 2011, she abruptly declared on social media that she was leaving the recording industry; the announcement represented a breaking point after quietly suffering in an abusive relationship. Sullivan was later rejuvenated by writing lyrics that empathized with all women, no matter their circumstances: the carefully preserved beauty who trades on her looks in ""Mascara"", the unemployed single mother turned bank robber in ""Silver Lining"", the ""Stupid Girl"" who is objectified and then cast aside like a used toy by men. Delivered with a spirited voice, and a sense of purpose, these songs could be a musical accompaniment to Alice Walker’s ""In Love & Trouble"". ""My flaws don’t look so bad,"" Sullivan sings on ""Masterpiece (Mona Lisa)"". ""Every part of me is beautiful, and I finally see I’m a work of art."" The 27-year-old Philly artist may have outgrown urban pop radio; her third album is the first in her career that hasn’t generated a major hit (although it found some success in urban adult contemporary). But  is a significant milestone for Sullivan, and for those of us who believe that modern-day R&B, despite its increasing blandness, can still inspire life-affirming art. —Mosi Reeves"
43,Destroyer,Poison Season,Merge / Dead Oceans,Staff Lists: The 50 Best Albums of 2015,"Dan Bejar's stabs at what it means for indie to sound both ""pop"" and ""mature"" (scare quotes intended) hit a lavish peak with 2011's , but it also stirred his ambivalent reaction to its place in his world. Refinement doesn't always require second-guessing, but when that does happen, you can get something as stirringly anxious as . Like Alex Chilton inverted, Bejar sings of dream lovers and trips to Bangkok, only in ways that reveal the disillusionment inside the rock'n'roll fantasy—the fatigue of an alt-pop hero who strives to sidestep the limelight. And in the process, Destroyer snatches irony from the grip of cheap comedy and resettles it in chilly melancholy.The bookend songs take the thought of falling in love with Times Square or a radio station, scrub it clean of the scuzzy romance of '70s NYC singer-songwriter myth, and reveal it to be a case of corporate Stockholm syndrome. Big cities are boundaries to escape (the John Carpenter-alluding ""The River"") or speculation-damaged husks of their former selves (""Oh, it sucks when there's nothing but gold in those hills,"" from ""Girl in a Sling""). And the haunting moments out of vanished-past arrangements— strings and soured Chicago horns—are the compellingly bitter flourishes to an album where nostalgia feels less like an escape than a reminder that the ways things go to shit simply shift with the tides. Even the Roxy/Springsteen charge-ahead wallop of ""Dream Lover"" feels like a deliberately hollow victory, the closest he gets to fun being ""someone's idea"" of it. But sometimes, intangible ennui is a great way to connect. —Nate Patrin
"
,Frankie Cosmos,Zentropy,Double Double Whammy,Staff Lists: Albums of the Year 2014: Honorable Mention,"Greta Kline's studio debut as Frankie Cosmos steeps itself in a sort of surface level self-loathing. But despite song titles like ""Sad 2"" and lyrical assertions that she's ""the kind of girl buses splash with rain,"" the true triumph of  comes from a sense of wide-eyed innocence and optimism that runs through the record's brief 17-minute runtime. Similar to the several decades of indie pop antecedents that populate the rosters of Slumberland and K Records, guitars shimmer and sputter, drums clatter to life with a lighthearted crackle, and Kline's apparently downcast lyrics turn tongue-in-cheek, offering ways of overcoming in the midst of post-millennial malaise. It's a surprisingly mature sentiment from a songwriter who was only 19 years old at the time of the album's release, especially in an era where void-gazing is popular enough to become . As she sings on ""My I Love You"", sometimes you just have to ""do what [you] have to do,"" and Kline has uniquely figured out how to soundtrack that process in a sneakily buoyant way. —Colin Joyce
"
,Nils Frahm,Spaces,Erased Tapes,Staff Lists: Albums of the Year 2014: Honorable Mention," only grew in stature over the course of the year following its late-2013 release. Its humble beginnings, lost in the November deadzone, might have caused it to be overlooked altogether. Instead, it became the type of album that was quietly passed around, gaining word-of-mouth traction for the captivating world Nils Frahm delicately spins around himself. The album perfectly taps into a prevailing interest in minimalism, whether through newer artists such as Bing & Ruth and Bitchin Bajas, or in the cavalcade of reissues such as Light in the Attic’s  and RVNG’s Ariel Kalma retrospective. Even two masters of the tradition, Philip Glass and Steve Reich, shared a stage for the first time in over 30 years in 2014—a year that also marked the 50th anniversary of Terry Riley’s pivotal . Still, no one sounds quite like Frahm, performing on this most un-live sounding live album, which is executed with a spiritual twinkle that belies its rather earthy circumstances. There are magical properties here, giving  a quality that makes it easy to forget the world outside during its absorbing duration. —Nick Neyland
"
,Future,Honest,Epic / A1 / Free Bandz,Staff Lists: Albums of the Year 2014: Honorable Mention,"On one hand, this was Future's year:  was the Atlanta rapper/singer's first true marquee release, his moment to be feted as rap royalty. He made the talk-show and morning show rounds; he had his strongest-ever first-sales week. On the other hand: those first-week sales totaled over 53,000, barely squeaking past Iggy Azalea, whose ""Fancy"" had yet to blow up. He cheated on Ciara, thereby earning him the white-hot, possibly-lifelong enmity of the hip-hop Internet. Then he made a terrible song called ""Pussy Overrated"" with Wiz Khalifa.All this was complicated further by the fact that, with , he made a diverse, sweeping, and often profoundly affecting stardom bid that was mostly swallowed by the Twitter landfill. He was tender and unguarded on the title track, cooing birds-egg fragile melodies into the song’s margins; he was a superhero on the Amadou & Miriam-sampling warrior's anthem ""Look Ahead"". He was a power balladeer on ""I Be U"", one of his most ebullient love songs ever. He was the most forceful and convincing coke rapper on ""Move That Dope"". (Oh, and on ""Benz Friendz (Whatchutola)"", he was a member of -era OutKast.) The album has mostly disappeared from the conversation, an ignominious fate—and proof that becoming a heavyweight sometimes means you sink like a stone. —Jayson Greene"
,M. Geddes Gengras,Ishi,Stones Throw / Leaving,Staff Lists: Albums of the Year 2014: Honorable Mention,"At first blush, M. Geddes Gengras' latest  of modular synthesizer music may not appear terribly complicated; it seems like you might be able to convincingly replicate the title track by taping down a handful of keys and slowly twisting the knobs—any knobs, really. And that's OK: the Los Angeles musician's system-oriented approach to composition often involves setting up parameters he reasonably expects to yield interesting results, and simply walking away. But listen more closely, and the album's three tracks (plus a 44-minute ""bonus"" cut) turn out to be deeply, even wildly expressive, brimming with pinwheeling polyrhythms and quicksilver timbral shifts and micro-movements that feel as natural as the wind. It might be the most satisfying example of a certain kind of sunburst organ burble since Emeralds' , and, compared to the freeform sprawl of his collaborative work in LA Vampires, Pocahaunted, and Sun Araw, it's deliciously focused, too. Ambient that's far too dynamic to scan as merely ambient, it's wallpaper music for a liquefied world. —Philip Sherburne
"
,The Hotelier,"Home, Like Noplace Is There",Tiny Engines,Staff Lists: Albums of the Year 2014: Honorable Mention,"An unfortunate side effect of your early 20s is a foolish desire to try to make sense of everything. There’s all this non-degradable waste hanging around your life like your old house, your old school, your old ex-lover—what do you do with all of it? That’s the irony of  being corralled into the ""emo revival,"" because it’s an album about how we are not really built to deal with nostalgia or the traumas of the past. The Hotelier do about 36 minutes of amateur punk-rock surgery on several tumorous events that they can’t seem to escape, and it becomes macabre and celebratory in the same shout-chorus. On the priceless ""Your Deep Rest"", Christian Holden rips these words out of his throat: ""I called in sick from your funeral/ Tradition of closure nearly felt impossible."" It’s a fictional tale of regret and self-loathing that doubles as the motto for the album: We are not built to handle all this. Holden’s heart is not a load-bearing structure, and all the hospital trips, addictions, psychoses, and suffocating suburban-Massachusetts backdrops are wounds he shouldn’t open up, but does anyway. Most punk is rooted in tearing down the present to make a better future—rightfully, because the Hotelier find out that it’s impossible to try to tear down the past. —Jeremy Larson
"
44,A Sunny Day in Glasgow,Sea When Absent,Lefse,Staff Lists: The 50 Best Albums of 2014,"Cult band returns after four years in hiding, signs to a new label, hires a hotshot producer, molds their unpredictable,  music into four-minute pop songs, and confirms their fans’ worst fears. This is pretty much what happened to A Sunny Day in Glasgow on their wondrous fourth album , but leave it to these guys to make the same old song completely unrecognizable. This wasn’t about a small group of protective devotees fretting about antiquated ideas of ""selling out."" Rather, as a band with no established frontperson and no established homebase making genreless music that’s nearly impossible to pull off live, A Sunny Day in Glasgow is a pretty terrible business proposition. So when they  late last year, the greater concern was that they couldn’t be a traditional buzz band with a traditional hit record even if they tried. We’re in luck if they can try harder than they did here; drawing as much from blaring rock and banging hip-hop as their other previous, ill-fitting tags of ""shoegaze"" or ""dream-pop,""  is clear-eyed and cloudbursting, seemingly incompatible sounds best described by seemingly contradictory feelings—""incapacitating calm,"" ""frightening infatuation,"" ""aggressive joy."" You’ll never get it quite right, but calling  ""ordinary"" is the only way you’ll get it wrong. —Ian Cohen
"
43,Madlib / Freddie Gibbs,Piñata,Madlib Invazion,Staff Lists: The 50 Best Albums of 2014,"Freddie Gibbs is a technician who folds his words into flows so neat the seams never show—and the success of talents like that often rest on the shoulders of a producer. Retro-leaning beats invite pithy ""real hip-hop"" barbs; hew too mainstream and you risk landing in limbo with the overqualified, underappreciated Gunplays of the industry. As a promising allegiance with Jeezy’s CTE World label blossomed and ultimately disintegrated, Gibbs charted a new course, teaming with mercurial SoCal producer/multi-instrumentalist Madlib for a slow drip of EPs over three years. Their collaborative full length, , sees the duo meeting styles halfway, Gibbs’ gruff, despairing storytelling taking flight on his producer’s woozy, stoned instrumentals. Few who’ve followed either artist could have reasonably predicted this union would form or float (Madlib barely makes rap anymore), but it did, and  is a monument to the enduring magic of raw beats and bars. —Craig Jenkins
"
42,Owen Pallett,In Conflict,Domino / Secret City,Staff Lists: The 50 Best Albums of 2014,"'s title captures not only its thematic fixations but also its contradictory quality of ominous loveliness, like a lover who wields his beauty as a surgical instrument. Shimmering strings and rippling piano lines are punctuated by hollow, metallic drum beats and disintegrating synthetic rubble, sound giving way to sound like violent weather patterns dissolving into one another. Above and around, Pallett’s preternaturally smooth voice offers a narrative unity of memory, judgment, and regret, the sonorousness of its croon like a floodlight affording no sympathetic shadows in which to hide. Its omniscience feels increasingly cutting as the words and music slide from the nostalgically self-diagnostic (""a copy of / Your room a holy mess"") through the elegiacally metaphysical (""the terror of the infinite … that it will never come again is what makes our life so sweet"") to the erotically specific (""you hooked your pinkies on my jeans""—a snapshot from the best-written sex scene of 2014), like a series of windows glancing upon the irreconcilable ""gap between what a man wants and what a man will receive.""  makes for endlessly uncomfortable listening not through ugliness, but through the ceaseless, yearning, searching dissatisfaction of its prettiness, an iron cage as torturous as it is intricately wrought. —Tim Finney"
41,Leon Vynehall,Music for the Uninvited,3024,Staff Lists: The 50 Best Albums of 2014,"British producer Leon Vynehall is relatively young, but his genteel, elegant compositions are marked by a respect for the history and cultural context of his genre and an awareness of the world around him. The title of his first lengthy release, , is a nod to the queer people of color who shaped the genesis of house music, dancing and forming communities to escape the marginalization that pervaded the rest of their lives; his production is studded with well-aged samples, voices from generations gone by speaking from beyond the void. They complement and embody songs that move in unexpected ways, percolating and building before achieving a stately grace. Vynehall’s reverence for the past doesn’t get in the way of his personality, either: he’s shaped by  and , possessed of a quiet confidence. His sense of self and regard for his ancestors form the base from which his vital, brainy music takes flight. —Jamieson Cox
"
42,Jenny Hval,"Apocalypse, girl",Sacred Bones,Staff Lists: The 50 Best Albums of 2015,"In a year when   Audre Lorde’s ideas on  as a radical act, Jenny Hval’s  rang out like a call of dissent. ""What are we taking care of?"" she sings on ""That Battle Is Over"", as she questions the messages the media feeds her about personal fulfillment via childbirth, via marriage, via consumption. Above all,  is a darkly composed treatise on having a body as a sort of peculiar plight, with Hval wrapping her lingering questions about sexuality and politics in minimalist, slow-jazz instrumentals. A sense of chest-clutching spirituality lingers throughout, with Hval’s voice moving between whispering confession and wailing over organs like she’s experiencing Saint Teresa’s  herself. On  the body is a thing to subvert: to find ecstasy in metal binds, to soften canonical cock rock, to embrace self-doubt. To take care of oneself, Hval suggests, is to keep questioning how exactly one is supposed to physically exist in this world. —Hazel Cills
"
41,Jeremih,Late Nights: The Album,Def Jam,Staff Lists: The 50 Best Albums of 2015,—Matthew Ramirez
,iLoveMakonnen,iLoveMakonnen EP,self-released,Staff Lists: Albums of the Year 2014: Honorable Mention,"Rap has always been a safe haven for weirdos, but 2014 was particularly kind to artists who vibrate on a slightly different frequency than the rest of us. iLoveMakonnen was one such beneficiary, going from YouTube curio to having Drake remix and sign him to his label seemingly overnight. He's been making music for years, but it's only recently that he caught the ear of veteran Atlanta producers like Sonny Digital and Metro Boomin. Makonnen gets their wooziest beats, the kind of tracks that are simultaneously weightless and dense as collapsing stars. There's ""Too Much"", where Makonnen's theatrical melodrama positions him as the trap game Andrew Lloyd Webber, the rap signifiers providing a frame of reference and helping communicate a loneliness that permeates the entirety of the  EP. ""Tonight"", which shimmers like the northern lights on an alien world, is just a few BPM short of being included on every deep-house DJ set for the next six months. And, of course, there's ""Club Goin Up on a Tuesday"", which features a hook barely tethered to this terrestrial plane. It might very well be the least testosterone-fueled celebration of Dionysian pleasures I've ever heard. This is Makonnen's secret—he's a sad boy and not just a #sadboy, and his music is an open hand extended to each and every one of us. —Renato Pagnani
"
,Ibeyi,Ibeyi,XL,Staff Lists: Albums of the Year 2015: Honorable Mention,"Lisa-Kaindé and Naomi Díaz’s debut album as Ibeyi opens with a sacred call to Eleggua, the deity of communication in Yoruban religion, a practice usually meant to signify the opening of a spiritual channel. As such, it’s a worthy placement: over the following 12 songs,  conjures soulful, invigorating, and wholly spiritual music, inspired by swooning R&B-electronic practitioners like James Blake as much as by the French-Cuban twins’ deeply musical Yoruban heritage. The album is dedicated in part to their late father, Anga Díaz, a percussionist in Buena Vista Social Club, whose presence figures most prominently in Naomi’s stark use of the cajón and Batá drums that carry the album along at an arresting, breathless rhythm. But his ghost, and others, are all over : in the clipped vocal sample that opens the trip-hop-indebted ""Think of You"", in the narratives that drive somber ballads ""Mama Says"" and ""Behind the Curtain"", and in the many instances in which the twins break out into Yoruban chants, as on gorgeous, river goddess-dedicated,  ""River"". What makes  truly exceptional, though, is the sisters’ obvious synergy, each breath and drum between the two suggestive of something both sacred and intangible. —Eric Torres"
,Lower Dens,Escape From Evil,Ribbon Music,Staff Lists: Albums of the Year 2015: Honorable Mention,"You could chalk up the impressive strides that Lower Dens made on  to just smart business sense. Having watched Baltimore buds Beach House and Future Islands dramatically increase their festival-billing font size in recent years, Lower Dens hit the bullseye between the former’s wistful melodicism and the latter’s synth-pumped propulsion. But as you listen to singer Jana Hunter ache, quiver, grimace, and seethe her way through the record’s 10 songs, another motive becomes apparent. Lower Dens transformed from shadowy drone-rock experimentalists to a diamond-chiseled electro-pop crew because that’s precisely what these unflinching, at times brutally honest songs demanded: clear lines of communication, the static and noise scraped away to maximize their emotional impact.Consistent with the album’s glassy, austere sound, Hunter sings like someone with the stoic resolve to get herself through the most discomfiting of conversations, but with an underlying unease that suggests she could break down at any moment. But for Hunter, even the most difficult exchanges are something to cherish.  demands face-to-face interaction, whether it’s delivering bald expressions of desire (""Quo Vadis""), the last goodbyes in a broken relationship (""Ondine""), or remorse over inflicting psychological damage that can’t be undone (""I Am the Earth""). It’s easy to interpret that album title as a comment on the extremist forces currently hellbent on destroying America from without and within, but the real battleground surveyed on  is the one connecting our heads and our hearts, the space where our insecurities take root and stifle the sort of open, meaningful dialogue this album so bravely encourages. —Stuart Berman
"
,Levon Vincent,Levon Vincent,Novel Sound,Staff Lists: Albums of the Year 2015: Honorable Mention,"Levon Vincent has always had a fierce independent streak, releasing his music largely through his own label, mentoring young producers, giving away digital versions of his vinyl-only tracks. The release of , his debut album, seemed to take his proclivity for DIY to almost troll-ish levels. The album arrived (digitally) via a WeTransfer link in a tweet. If you were fortunate enough to get your hands on a copy of the (reasonably priced) 4xLP set, it arrived in a bubble-wrap pouch, four slabs of vinyl in unmarked sleeves, each labeled with a unique sticker hand-cut from a magazine. A re-printed handwritten note served as the ; ""Special Thanks to Everyone,"" it reads.All of this is notable only because the music matches the medium.  comprises 11 craggy, pockmarked tracks full of synths that refuse to march in exact lockstep with the drums. It offers up melodies that carry on a few bars longer than expected. Vincent plays with the conventions of techno the same way you might play fast and loose with a recipe’s ratios: a dash of extra krautrock here, a pinch of dub there. It's a cliche when talking about techno—machine music—that you can really hear the person behind it. On  it's more difficult to locate the machines behind the person. —Andrew Gaerig"
,Jessica Pratt,On Your Own Love Again,Drag City,Staff Lists: Albums of the Year 2015: Honorable Mention,"Draped over gorgeous fingerpicked guitar melodies, Jessica Pratt’s voice is a singular, otherworldly instrument. Yet the Californian sounds grounded and self-assured throughout her second album, . In almost every song, she reaches out to someone who’s standing directly in front of her, but the distance is both palpable and insurmountable. Tears and pleas have given way to the sober realization that she’s arrived at a new phase in her life (""I see that you’re leaving, so what can I say""). It’s tempting to read some of Pratt’s real-life narrative in these songs. She’d lost her mother and ended a very long relationship. The album was home-recorded in a state of isolation—L.A. was right outside her window, but Pratt stayed inside, repeatedly playing these songs until they were exactly right (and her fingers began to hurt). She harmonizes with herself and occasionally tucks into full-on psychedelia, letting her voice and guitar melt into an entirely different register. Every song packs the unmistakable whiff of lingering pain, but there’s also acceptance—the sound of someone charting a new course in the face of loss. —Evan Minsker
"
,Protomartyr,The Agent Intellect,Hardly Art,Staff Lists: Albums of the Year 2015: Honorable Mention,"Across Protomartyr’s three albums, the Detroit band’s essentials have gone largely unchanged. Joe Casey’s poetry, for one, has always been engaging—a teetering pile of references and odd conversational phrases where rage, melancholy, and absurdity melt together. The band is often described as post-punk, which is probably due to Casey’s deep voiced bellow and overall intensity. It really depends on the song, though, since Greg Ahee’s guitar can either provide breakneck razorwire punk or glossy anthemic sheen. On their latest album , they’ve undergone their biggest change to date: They’ve become a better band. Casey’s ragged, slurred vocals from the debut album are long gone. Here, he turns in the best performance of his life, offering greater impetus to focus on his words. Alex Leonard’s drumming seems to have improved. It’s also their most kinetic album, offering very few pauses across its 44 minutes.With a few subtle tweaks and improvements, Protomartyr accentuate their strengths. Even better, there’s something intrinsically risky about the album’s most delicate moments. This band could have easily coasted on the garage rock immediacy of their debut album . Instead, they deliver the lengthy, patient ""Ellen""—a love song about Casey’s mother. Instead of leaning on his more verbose inclinations, Casey repeats just a few lines over his band’s most beautiful music to date. It’s one of several moments where you get to peer into Casey’s experiences—""Why Does It Shake"" is something his mother asked about the tremors in her hand, and ""I Forgive You"" references a chemistry teacher from Casey’s old high school who was recently locked up on child pornography and molestation charges.Those moments are what make Protomartyr such a captivating band—the promise that even though we might not always understand what every line means, there’s an implication that everything here comes from a place that’s real and personal. People don’t just pay attention to Joe Casey because of his voice or stage presence—people want to get to know him through this music. That’s partially why their annual hometown Jumbo’s gig on December 26 has become flooded with ""false friends"" and ""weird faces""—""I don’t like it,"" he sings of the phenomenon on ""Pontiac 87"". If he keeps making music this good, he’s probably going to have to get used to the unwanted attention. —Evan Minsker
"
,Prurient,Frozen Niagara Falls,Profound Lore,Staff Lists: Albums of the Year 2015: Honorable Mention,"Perpetual collapse and implosion: It’s a tough dynamic to sustain across a single song, let alone an entire career of them. Yet Dominick Fernow, who creates multi-faceted noise music as Prurient, has been at this game for many years, culminating in the double album —a suite of 16 tracks that’s fearless in its utter capitulation to fear. On ""Myth of Building Bridges"", a modulated symphony of static dissolves into a muffled, digitized rebirthing ritual; on ""Every Relationship Earthrise"", he uses icy, fragmented synth-pop as the foundation for a sustained spasm of screaming that ultimately devours itself. The deep catharsis, though, comes more potently on the album’s semi-acoustic songs such as ""Greenpoint"" and ""Christ Among the Broken Glass"", which treat folk guitar like some ancient artifact and whispers like bloodcurdling, lung-melting confessions. If fear has become the blank canvas of our collective existence,  poignantly, harrowingly scrawls a map across it. —Jason Heller
"
,Susanne Sundfør,Ten Love Songs,Warner Music Group,Staff Lists: Albums of the Year 2015: Honorable Mention,"""Many people will get hurt,"" Norwegian pop songwriter Susanne Sundfør cautions early on her sixth album, with a coldness that leaves no doubt as to who’ll be administering that pain. As the title promises, these 10 songs are technically about love, but Sundfør’s conception of romance owes more to the brutality of the  movies than the Hollywood idealism of . ""Silencer"" opens with her standing over her lover's still-warm body clenching a gun. On ""Delirious"", she at least gives her paramour a head’s up when she vows to push him over the edge—it’s a threat, yes, but by this album's cutthroat standards, it’s also an expression of love.Sundfør backs up her bluster with some of the most unabashedly audacious pop compositions of the year. A sinister church organ rips through the gothy ""Accelerate"" with hellfire fury, while the raved-up EDM synths of ""Kamikaze"" hit like shocks from a downed power line. And for her grandest display, she’s assisted by M83’s Anthony Gonzalez on the 10-minute ""Memorial"", which plays like a mid-album classical recital break yet somehow fits right in on this bold, violent odyssey of a record. —Evan Rytlewski"
,Colin Stetson / Sarah Neufeld,Never were the way she was,Constellation,Staff Lists: Albums of the Year 2015: Honorable Mention,"We’ve reached the point where we naturally assume a  this complex, where sounds intertwine so thoroughly, must be the product of looping and layering, but Stetson and Neufeld played the whole thing live in the studio, just her violin and his battery of reed instruments and the occasional wordless vocal. Much of the record is built around interlocking patterns, with Stetson using circular breathing to keep up with Neufeld’s violin. Together, they create surging soundscapes that have some of the same rushing qualities as Philip Glass or Moondog, but with an entirely less precise and more melancholy outcome than either of those forebears. The highly rhythmic approach of the album’s showcase tracks is balanced by more delicately melodic pieces—""Won’t Be a Thing to Become"" is gorgeous and dusty, relying on simple themes to perfect its chilly atmosphere, while the title track is like a huge, eight-minute sigh of exhaustion.Though they’re perhaps best known for their mutual association with Arcade Fire, Neufeld and Stetson actually met before his involvement with that group, and this is their second collaboration, after 2013’s original score for , a movie based on the story of the Beltway snipers. Their work together is assuming an identity as distinct as any of the myriad other projects either has been involved in. —Joe Tangari
"
,Viet Cong,Viet Cong,Jagjaguwar / Flemish Eye,Staff Lists: Albums of the Year 2015: Honorable Mention,"Some bands run hot and cold, but very few inhabit both temperatures at once like Viet Cong. The music on the band’s  can be as stark as its black-and-white cover, and as frozen as their Calgary home. Yet these seven songs pump with boiled blood and stung nerves, as red as your hands when you’re worried they might be frostbitten. This bi-thermal, dark-and-light aura draws its energy from '80s and '90s post-punk, and it’s what makes this quartet exciting outside of the surface of their songs. They inject a fervent catchiness into their dour post-punk that makes tunes like  sound as much like Blondie as Joy Division. So even though Viet Cong concludes with a bludgeoning 11-minute track called ""Death"", the song itself ends with a joyous burst of sprinting guitars. Viet Cong may sound like they live in a tunnel, but they always have their eyes on the light at the end of it. —Marc Masters
"
,Young Thug,Slime Season 1 & 2,self-released,Staff Lists: Albums of the Year 2015: Honorable Mention,"Young Thug’s forebears, Lil Wayne and Gucci Mane, were moved to the same type of stylistic experimentation and excess as their successor. But Tunechi and Gucci spread out their quality offerings; neither came close to releasing something like the concentrated, cohesive double-dose of quality music represented by the combined 40-tracks of the  . The tapes, put out in quick succession this fall, are a world unto themselves, a Halloween horrorshow built from rotting organic matter as Thug piles reference upon reference to flora and fauna, fungus, bees, cabbage. Listening feels like living in Poison Ivy’s greenhouse. Even the diamonds resemble pimples. The consistently high quality of what seems like a collection of odds and ends is notable. But more compelling is just how deep these 40 tracks take us into Thug’s self-made Hades. Throughout his career, Jeffrey Williams has most often been concerned with the joys of sex, violence and twisted verbalization. But on , a new element emerged to accompany his famously bizarre style. It was apparent in poignant details, like this extra-musical tidbit: Thug is introducing us to a track’s producer, and mistakenly calls him an engineer. And then, bashfully, he apologizes: ""I’m high, sorry."" It’s a moment of tenderness that doesn’t explicitly evoke sex, a glimpse of Thug’s vulnerable underbelly. When someone speaks and/or raps in a nigh-incomprehensible slang, it’s reasonable to assume that he is trying to keep others out. But when that same dude releases 40 tracks spotted through with moments like these, it might just be a sign that he’s attempting to let us in. —Jonah Bromwich


"
40,Jlin,Dark Energy,Planet Mu,Staff Lists: The 50 Best Albums of 2015,"If there were ever a place to get lost inside yourself, it’s Gary, Ind. I’ve only stopped there to get gas, but I’ve probably driven through it 100 times: The factory stank is oppressive enough to make you roll up the windows. It’s been hemorrhaging residents and funds for decades; in 2013, Gary’s redevelopment director wagered 6,500 of the 7,000 city-owned properties were abandoned. And that’s where Jlin, the woman responsible for the year’s most haunting footwork album, lives.""I can’t create from a happy place. It feels pointless,"" Jlin  of . From the start—""Black Ballet""’s doomy strings and operatic wails, churning in vicious spin-cycle—this is music that evokes unnamed, encroaching panic above all else. ""Guantanamo"" loops a small girl’s voice: ""Leave me alone, leave me alone."" Often the percussive stabs sound like sharp little sighs. Footwork as a form has always been in direct conversation with the body, even its name addresses the music’s physical effect. But  feels more interested in exploring the psyche—a portrait of the dark corners of the human spirit in a ghost town of steel and smoke. —Meaghan Garvey
"
